PAS gene loc
human27 LOC105378580 intron
human28 LOC105378580 intron
human30 LOC105378580 intron
chimp242458 LOC105378580 intron
human32 LOC105378580 intron
chimp242456 LOC105378580 intron
human42 LOC105378580 end
human75 NOC2L utr3
human77 NOC2L cds
chimp1721 NOC2L cds
human79 NOC2L cds
human86 NOC2L intron
human88 KLHL17 utr3
human95 ISG15 utr3
human100 AGRN utr3
human107 C1orf159 utr3
human117 C1orf159 intron
human118 C1orf159 intron
human124 C1orf159 intron
human130 TNFRSF18 utr3
human132 SDF4 utr3
human133 SDF4 end
human139 B3GALT6 utr3
human140 B3GALT6 utr3
human142 B3GALT6 utr3
human146 UBE2J2 utr3
human160 INTS11 utr3
human169 INTS11 intron
human171 CPTP utr3
human177 AURKAIP1 utr3
human184 CCNL2 utr3
human185 CCNL2 utr3
human187 CCNL2 utr3
human195 CCNL2 utr3
human200 LOC148413 utr5
human199 MRPL20 utr3
human202 MRPL20 intron
human222 ATAD3B utr3
human229 SSU72 utr3
human249 MIB2 end
human251 MIB2 utr3
chimp88 CDK11B utr3
chimp91 CDK11B utr3
chimp92 CDK11B utr3
chimp94 CDK11B utr3
human258 CDK11B intron
human260 CDK11B utr3
human262 CDK11B utr3
human263 CDK11B utr3
human264 SLC35E2B utr3
human265 SLC35E2B utr3
human271 SLC35E2B cds
human275 SLC35E2B intron
human301 NADK utr3
human305 NADK intron
human306 NADK intron
human309 GNB1 utr3
human314 GNB1 utr3
human322 GNB1 intron
human338 GNB1 utr5
human362 GNB1 intron
human364 GNB1 intron
human385 FAAP20 utr3
human386 FAAP20 utr3
human389 FAAP20 utr3
human397 SKI cds
human398 SKI utr3
human399 SKI utr3
human402 SKI utr3
human427 RER1 utr5
human436 RER1 utr3
human437 RER1 utr3
human438 PEX10 end
human439 PEX10 utr3
human442 RER1 utr3
human447 MEGF6 utr3
human448 MEGF6 utr3
human449 MEGF6 utr3
chimp276 MEGF6 intron
human454 MEGF6 intron
human458 TPRG1L utr3
human459 WRAP73 utr3
human462 WRAP73 utr3
human464 WRAP73 intron
human465 WRAP73 intron
human470 TP73 intron
human482 TP73 intron
human484 TP73 intron
human489 TP73 utr3
human492 TP73-AS1 utr3
human494 TP73 utr3
human495 TP73-AS1 utr3
human497 TP73-AS1 utr3
human498 TP73-AS1 utr3
human499 TP73-AS1 intron
human502 LRRC47 utr3
human516 CEP104 utr3
chimp343 CEP104 end
chimp347 CEP104 cds
human526 CEP104 cds
human530 CEP104 cds
human534 CEP104 cds
human541 DFFB intron
human542 DFFB intron
human544 DFFB intron
human546 DFFB intron
human548 DFFB cds
human550 DFFB utr3
human608 KCNAB2 intron
human612 KCNAB2 intron
human633 KCNAB2 cds
human640 KCNAB2 utr3
human644 KCNAB2 utr3
human648 RPL22 utr3
human650 RPL22 utr3
human651 RPL22 utr3
human652 RPL22 cds
human653 LOC107985733 end
human661 RNF207 end
human662 RNF207 end
human664 RNF207 utr3
human667 ICMT utr3
human668 RNF207 end
human671 ICMT utr3
chimp447 ICMT utr3
human682 GPR153 utr3
human683 GPR153 intron
human685 ACOT7 utr3
chimp468 ACOT7 intron
human687 ACOT7 intron
human693 ACOT7 intron
human697 ACOT7 intron
human704 NOL9 utr3
human711 NOL9 utr3
human714 NOL9 intron
human724 ZBTB48 intron
human725 ZBTB48 utr3
human726 KLHL21 utr3
human735 PHF13 intron
human740 PHF13 utr3
human744 PHF13 utr3
human747 THAP3 utr3
human749 DNAJC11 utr3
human750 DNAJC11 utr3
human753 DNAJC11 cds
human761 DNAJC11 intron
human767 DNAJC11 cds
human773 DNAJC11 intron
human801 CAMTA1 intron
human802 CAMTA1 intron
human806 CAMTA1 cds
human819 CAMTA1 intron
human820 CAMTA1 intron
human844 CAMTA1 intron
human854 CAMTA1 utr3
human913 VAMP3 cds
human914 VAMP3 utr3
chimp624 VAMP3 utr3
human916 VAMP3 utr3
human946 TNFRSF9 utr3
human948 TNFRSF9 utr3
human949 TNFRSF9 utr3
human950 TNFRSF9 utr3
human952 TNFRSF9 utr3
human955 TNFRSF9 cds
human957 PARK7 utr5
human959 PARK7 cds
human975 PARK7 utr3
human988 RERE utr3
chimp832 RERE cds
human1139 RERE cds
human1197 RERE intron
human1221 ENO1 utr3
human1222 ENO1 utr3
human1225 MIR6728 utr3
human1230 ENO1 cds
human1245 SLC2A5 end
human1246 SLC2A5 end
human1247 SLC2A5 end
human1249 SLC2A5 utr3
human1250 SLC2A5 utr3
human1251 SLC2A5 utr3
human1284 MIR34AHG utr3
human1288 MIR34AHG utr3
human1313 LINC01759 intron
human1314 LINC01759 intron
human1315 LINC01759 intron
human1316 LINC01759 intron
human1319 LINC01759 intron
human1320 LINC01759 utr5
human1321 LINC01759 end
human1329 H6PD utr5
human1330 H6PD utr5
human1338 H6PD utr3
human1342 H6PD utr3
human1348 SLC25A33 intron
human1351 SLC25A33 intron
human1352 SLC25A33 intron
human1355 SLC25A33 intron
chimp1013 SLC25A33 intron
chimp1015 SLC25A33 cds
human1356 SLC25A33 utr3
human1357 SLC25A33 utr3
human1359 TMEM201 intron
human1360 TMEM201 utr3
human1361 TMEM201 end
human1363 TMEM201 utr3
human1406 PIK3CD utr5
human1412 PIK3CD intron
human1422 PIK3CD cds
chimp1065 PIK3CD cds
human1433 PIK3CD utr3
human1434 CLSTN1 utr3
human1436 CLSTN1 utr3
human1437 CLSTN1 cds
human1445 CLSTN1 cds
human1460 CTNNBIP1 utr3
human1461 CTNNBIP1 utr3
human1462 CTNNBIP1 utr3
human1465 CTNNBIP1 intron
human1469 CTNNBIP1 intron
human1473 LZIC utr3
human1481 LZIC utr3
human1482 LZIC utr3
human1485 LZIC cds
human1486 LZIC intron
human1488 LZIC cds
human1490 NMNAT1 intron
chimp1125 NMNAT1 intron
human1491 NMNAT1 intron
human1494 NMNAT1 intron
human1497 NMNAT1 intron
human1500 NMNAT1 utr3
human1502 NMNAT1 utr3
human1503 NMNAT1 utr3
human1504 NMNAT1 utr3
human1525 UBE4B cds
human1529 UBE4B intron
human1537 UBE4B cds
human1550 UBE4B utr3
human1553 UBE4B utr3
human1565 KIF1B cds
human1568 KIF1B cds
human1571 KIF1B cds
human1573 KIF1B cds
human1574 KIF1B cds
human1577 KIF1B utr3
human1588 KIF1B utr3
chimp1229 PGD cds
human1599 PGD utr3
human1600 PGD utr3
human1609 DFFA end
human1615 DFFA end
chimp1246 DFFA end
chimp1249 DFFA utr3
human1623 DFFA utr3
human1624 DFFA utr3
human1647 PEX14 intron
human1692 PEX14 intron
human1693 PEX14 intron
human1697 PEX14 utr3
human1698 CASZ1 utr3
chimp1312 CASZ1 intron
human1701 CASZ1 intron
human1702 CASZ1 cds
human1705 TARDBP utr5
human1706 TARDBP cds
human1707 TARDBP cds
human1713 TARDBP cds
human1714 TARDBP utr3
human1717 TARDBP utr3
chimp1330 TARDBP utr3
human1729 SRM utr3
human1738 EXOSC10 utr3
human1748 EXOSC10 intron
human1756 MTOR utr3
human1794 MTOR utr3
human1795 MTOR utr3
human1799 UBIAD1 intron
human1800 UBIAD1 intron
human1802 UBIAD1 intron
human1804 UBIAD1 utr3
chimp1398 UBIAD1 utr3
human1805 UBIAD1 utr3
human1806 UBIAD1 utr3
human1810 FBXO44 utr3
human1811 FBXO44 utr3
human1815 MAD2L2 utr3
human1821 AGTRAP utr3
human1832 CLCN6 intron
human1834 CLCN6 intron
human1836 CLCN6 intron
human1840 CLCN6 intron
human1841 CLCN6 cds
chimp1437 CLCN6 utr3
human1844 CLCN6 utr3
human1853 KIAA2013 utr3
human1854 KIAA2013 utr3
human1857 KIAA2013 intron
human1861 PLOD1 utr3
human1862 MFN2 intron
